year,month,nl_kg,nl_usd,nb_kg,nb_usd,month_num,total_kg,nb_share
2020,January,0.0,0.0,0.0,0.0,1,0.0,
2020,February,0.0,0.0,0.0,0.0,2,0.0,
2020,March,0.0,0.0,0.0,0.0,3,0.0,
2020,April,0.0,0.0,76703.0,1039651.0,4,76703.0,100.0
2020,May,15107.0,241080.0,767888.0,8792167.0,5,782995.0,98.07061347773612
2020,June,83285.0,1251935.0,332076.0,3979063.0,6,415361.0,79.94876745770546
2020,July,47494.0,885197.0,96270.0,824333.0,7,143764.0,66.96391307976963
2020,August,0.0,0.0,0.0,0.0,8,0.0,
2020,September,0.0,0.0,0.0,0.0,9,0.0,
2020,October,0.0,0.0,0.0,0.0,10,0.0,
2020,November,0.0,0.0,0.0,0.0,11,0.0,
2020,December,0.0,0.0,0.0,0.0,12,0.0,
2021,January,0.0,0.0,0.0,0.0,1,0.0,
2021,February,0.0,0.0,0.0,0.0,2,0.0,
2021,March,0.0,0.0,0.0,0.0,3,0.0,
2021,April,0.0,0.0,249177.0,4761847.0,4,249177.0,100.0
2021,May,118514.0,2108625.0,354587.0,7806446.0,5,473101.0,74.94953508870199
2021,June,64722.0,1471328.0,369428.0,6778037.0,6,434150.0,85.0922492226189
2021,July,18846.0,612775.0,0.0,0.0,7,18846.0,0.0
2021,August,0.0,0.0,0.0,0.0,8,0.0,
2021,September,0.0,0.0,0.0,0.0,9,0.0,
2021,October,0.0,0.0,50.0,175.0,10,50.0,100.0
2021,November,0.0,0.0,0.0,0.0,11,0.0,
2021,December,0.0,0.0,0.0,0.0,12,0.0,
2022,January,0.0,0.0,0.0,0.0,1,0.0,
2022,February,0.0,0.0,0.0,0.0,2,0.0,
2022,March,0.0,0.0,0.0,0.0,3,0.0,
2022,April,0.0,0.0,0.0,0.0,4,0.0,
2022,May,35737.0,941703.0,497591.0,9042240.0,5,533328.0,93.29924549245493
2022,June,16983.0,478483.0,494792.0,9120812.0,6,511775.0,96.6815495090616
2022,July,0.0,0.0,9832.0,248111.0,7,9832.0,100.0
2022,August,0.0,0.0,29526.0,146611.0,8,29526.0,100.0
2022,September,0.0,0.0,0.0,0.0,9,0.0,
2022,October,0.0,0.0,0.0,0.0,10,0.0,
2022,November,0.0,0.0,0.0,0.0,11,0.0,
2022,December,0.0,0.0,0.0,0.0,12,0.0,
2023,January,0.0,0.0,0.0,0.0,1,0.0,
2023,February,0.0,0.0,0.0,0.0,2,0.0,
2023,March,0.0,0.0,0.0,0.0,3,0.0,
2023,April,0.0,0.0,274808.0,2576725.0,4,274808.0,100.0
2023,May,0.0,0.0,631495.0,6246567.0,5,631495.0,100.0
2023,June,31230.0,333767.0,232633.0,2247300.0,6,263863.0,88.1643125409777
2023,July,18860.0,219916.0,56331.0,505015.0,7,75191.0,74.91721083640329
2023,August,16983.0,215488.0,7799.0,89804.0,8,24782.0,31.47042208054233
2023,September,0.0,0.0,0.0,0.0,9,0.0,
2023,October,0.0,0.0,0.0,0.0,10,0.0,
2023,November,0.0,0.0,0.0,0.0,11,0.0,
2023,December,0.0,0.0,0.0,0.0,12,0.0,
2024,January,2798.0,37505.0,0.0,0.0,1,2798.0,0.0
2024,February,0.0,0.0,0.0,0.0,2,0.0,
2024,March,0.0,0.0,0.0,0.0,3,0.0,
2024,April,0.0,0.0,489343.0,4792651.0,4,489343.0,100.0
2024,May,95966.0,1447168.0,479613.0,5479072.0,5,575579.0,83.3270498055002
2024,June,49953.0,731724.0,135236.0,1423965.0,6,185189.0,73.02593566572529
2024,July,17799.0,243884.0,25203.0,360773.0,7,43002.0,58.608901911539
2024,August,22050.0,55082.0,0.0,0.0,8,22050.0,0.0
2024,September,11533.0,167021.0,0.0,0.0,9,11533.0,0.0
2024,October,0.0,0.0,0.0,0.0,10,0.0,
2024,November,0.0,0.0,0.0,0.0,11,0.0,
2024,December,0.0,0.0,0.0,0.0,12,0.0,
2025,January,0.0,0.0,0.0,0.0,1,0.0,
2025,February,0.0,0.0,0.0,0.0,2,0.0,
2025,March,0.0,0.0,0.0,0.0,3,0.0,
2025,April,0.0,0.0,369638.0,4381492.0,4,369638.0,100.0
2025,May,0.0,0.0,246705.0,2466200.0,5,246705.0,100.0
2025,June,0.0,0.0,91851.0,893535.0,6,91851.0,100.0
2025,July,16873.0,258478.0,0.0,0.0,7,16873.0,0.0
2025,August,16874.0,258574.0,0.0,0.0,8,16874.0,0.0
2025,September,0.0,0.0,0.0,0.0,9,0.0,
2025,October,0.0,0.0,0.0,0.0,10,0.0,
2025,November,0.0,0.0,0.0,0.0,11,0.0,
2025,December,0.0,0.0,0.0,0.0,12,0.0,
